name,date,rate,type,director,cast,country
秘密访客,05/01/2021,5.7,"悬疑, 惊悚",陈正道,"郭富城, 段奕宏, 张子枫, 许玮甯, 荣梓杉, 王圣迪, 吕聿来, 张柏嘉, 孔雁", 中国大陆
你的婚礼,04/30/2021,5.1,爱情,韩天,"许光汉, 章若楠, 丁冠森, 晏紫东, 郭丞, 王莎莎, 梁靖康, 刘迅", 中国大陆
悬崖之上,04/30/2021,7.7,"剧情, 动作, 悬疑",张艺谋,"张译, 于和伟, 秦海璐, 朱亚文, 刘浩存, 倪大红, 李乃文, 余皑磊, 周晓凡, 雷佳音, 沙溢, 韩昊霖, 赵毅", 中国大陆 / 中国香港
我的姐姐,04/02/2021,7.1,"剧情, 家庭",殷若昕,"张子枫, 肖央, 朱媛媛, 段博文, 梁靖康, 金遥源, 王圣迪, 孙嘉灵, 陈永胜, 朴松日", 中国大陆
进击的巨人 最终季 ,12/07/2020,9.5,动画,"林祐一郎, 宇田钢之助, 山崎光惠, 森邦宏, 宍户淳, 德土大介, 平向智子, 牧田佳织, 下司泰弘, 大峰辉之, 茉田哲明, 高桥英俊, 曹毅, 杨烈骏","梶裕贵, 石川由依, 井上麻里奈, 三上枝织, 下野纮, 小林优, 谷山纪章, 细谷佳正, 朴璐美, 神谷浩史, 子安武人, 花江夏树, 佐仓绫音, 沼仓爱美, 增田俊树, 村濑步, 松风雅也, 小野贤章, 榎木淳弥, 渡边明乃, 斋贺光希, 井上和彦, 齐藤次郎, 花轮英司", 日本
猎鹰与冬兵 ,03/19/2021,7.7,"剧情, 动作, 科幻, 冒险",卡莉·斯考格兰德,"安东尼·麦凯, 塞巴斯蒂安·斯坦, 丹尼尔·布鲁赫, 怀亚特·罗素, 艾米丽·万凯普, 茱莉亚·路易斯, 德瑞弗斯, 艾琳·凯利曼, 戴斯蒙·詹, 丹尼·拉米雷斯, 阿德普波·奥杜耶, 科勒·班尼特, 诺亚·米尔斯, 卡尔·卢波利, 弗洛伦丝·卡松巴, 乔治·圣皮埃尔, 埃米·阿奎诺, 维罗尼卡·法尔孔, 肯·竹本, 石川美纪, 丽贝卡·莱恩斯, 唐·钱德尔, 奈斯鲍提斯塔, 伊恩·格雷格, 戴维·鲍尔斯, 尼古拉斯·普罗约尔, 亚当·瓦库拉", 美国
波斯语课 ,03/19/2021,8.2,剧情,瓦迪姆·佩尔曼,"纳威尔·佩雷兹, 毕斯卡亚特, 拉斯·艾丁格, 约纳斯·奈伊, 大卫·舒特, 亚历山大·拜尔, 安德里亚斯·霍佛尔, 莉奥妮·贝尼希, 朱塞佩·希拉奇, 安托尼·查隆, 菲利克斯·冯, 布雷多, 帕斯卡尔·艾尔索, 马库斯·卡尔文", 俄罗斯 / 德国 / 白俄罗斯
扎克·施奈德版正义联盟 ,05/03/2021,8.3,"动作, 科幻, 奇幻, 冒险",扎克·施奈德,"本·阿弗莱克, 亨利·卡维尔, 盖尔·加朵, 杰森·莫玛, 埃兹拉·米勒, 雷·费舍尔, 艾米·亚当斯, 威廉·达福, 杰西·艾森伯格, 杰瑞米·艾恩斯, 戴安·琳恩, 康妮·尼尔森, 西蒙斯, 塞伦·希德, 郑恺, 艾梅柏·希尔德, 乔·莫顿, 丽莎·洛文, 孔斯利, 大卫·休里斯, 安·奥戈博莫, 奥古斯塔·艾娃, 艾伦德斯杜提尔, 克里斯特比约格·凯尔德, 英格瓦·埃盖特, 西古德松, 马克·麦克卢尔, 迈克尔·麦克埃尔哈顿, 约翰·达格尔什, 拉腊·德坎罗, 罗比·基, 吉姆·斯图格恩, 杜晨·科洛斯, 埃莉诺·松浦, 萨曼塔·若, 布鲁克恩斯, 杰罗姆·普拉顿, 理查德·克里弗特, 文森特·里奥特, 马克·阿诺德, 彼得·吉尼斯, 赛吉·康斯坦斯, 奥萝尔·劳泽瑞尔, 朱利安·刘易斯, 琼斯, 雷·波特, 弗朗西斯·麦基, 科雷西·克莱门斯, 露西·布莱尔斯, 威尔·柯班, 凯伦·布莱森, 克里斯蒂·梅尔, 吉安皮罗·科格诺利, 寇布勒·霍尔德布鲁克, 史密斯, 凯文·马图林, 泰勒·詹姆斯, 布鲁斯·钟, 奥赖恩·李, 奥利弗·加茨, 凯莉·波尔克, 奥利弗·鲍威尔, 哈里·伦尼克斯, 欧米·罗斯, 萨姆·本杰明, 卡拉·古奇诺, 罗素·克劳, 扎克·施奈德", 美国
少林寺之得宝传奇,02/12/2021,4.0,动作,唐季礼,"王宝强, 倪大红, 吴孟达, 刘昊然, 都桂宇, 索朗美淇, 于海, 熊欣欣, 白泽泽", 中国大陆
唐人街探案3,02/12/2021,5.5,"喜剧, 悬疑",陈思诚,"王宝强, 刘昊然, 妻夫木聪, 托尼·贾, 长泽雅美, 染谷将太, 铃木保奈美, 浅野忠信, 三浦友和, 尚语贤, 肖央, 张子枫, 邱泽, 张钧甯, 马伯骞, 程潇, 陈哲远, 李明轩, 崔雨鑫, 张一白, 文咏珊, 张熙然, 克拉拉, 树林伸, 刘德华, 陈思诚, 平山日和, 奥田瑛二, 六平直政, 酒向芳, 秋山成勋, 桥本爱实, 长井短, 宇治清高, 张国强, 大鹏, 陈祉希, 林沐然", 中国大陆 / 中国香港 / 日本
